ISO3166_2,state_name,avg_jan_temp,avg_jan_sun,avg_jul_temp,avg_jul_hum,avg_water_area_z,avg_topography_z,avg_amenity_scale,avg_amenity_class
CA,California,44.44,174.414,71.502,42.328,0.618,1.36,6.729,7
AZ,Arizona,43.287,248.4,81.6,25.733,-1.001,0.565,4.87,7
NV,Nevada,30.476,200.0,72.547,17.529,-0.38,0.518,4.718,7
CO,Colorado,24.551,206.841,68.74,31.714,-0.699,0.888,4.026,7
OR,Oregon,34.817,87.694,66.394,35.611,0.075,1.358,3.78,7
NM,New Mexico,34.633,224.364,74.891,33.636,-1.293,0.52,3.536,7
UT,Utah,25.724,150.448,72.648,19.448,0.157,1.122,3.406,7
FL,Florida,58.009,197.642,81.457,74.373,1.192,-1.12,2.943,6
WY,Wyoming,20.4,170.783,68.496,31.304,-0.467,1.206,2.883,6
WA,Washington,32.815,61.487,67.133,38.103,0.745,1.181,2.777,6
ID,Idaho,23.768,105.136,68.891,22.045,-0.309,1.067,2.021,6
CT,Connecticut,26.638,161.75,71.462,64.625,1.058,0.891,1.796,5
RI,Rhode Island,28.36,168.0,71.22,67.0,1.74,-0.285,1.682,5
MT,Montana,18.125,125.561,68.151,30.123,-0.318,1.067,1.355,5
TX,Texas,45.924,182.591,83.174,42.051,-0.326,-0.529,1.273,5
ME,Maine,19.35,156.25,67.194,73.625,1.387,0.464,0.833,4
MA,Massachusetts,27.221,140.714,70.971,65.714,1.43,-0.057,0.742,4
OK,Oklahoma,38.383,180.247,82.335,44.792,0.147,-0.383,0.586,4
NC,North Carolina,41.177,171.94,77.383,75.22,0.263,-0.197,0.358,4
GA,Georgia,46.908,165.623,79.713,72.126,0.048,-0.381,0.322,4
SC,South Carolina,45.38,176.978,79.885,73.022,0.425,-0.74,0.316,4
AL,Alabama,45.709,141.955,80.027,67.179,0.12,0.132,0.246,4
NH,New Hampshire,20.19,137.5,69.01,69.1,0.778,1.08,0.238,4
NJ,New Jersey,31.067,152.238,75.09,61.333,0.904,-0.314,0.149,4
TN,Tennessee,38.357,130.737,77.384,63.0,0.028,0.593,0.032,4
AR,Arkansas,40.704,147.4,80.753,58.773,0.187,0.138,0.018,4
DE,Delaware,34.033,156.0,76.3,69.0,1.666,-0.992,-0.003,3
MD,Maryland,33.996,148.583,75.983,67.5,1.195,-0.544,-0.068,3
VA,Virginia,36.469,152.419,75.832,69.882,-0.625,0.153,-0.094,3
PA,Pennsylvania,27.969,124.687,72.361,62.03,-0.041,0.972,-0.178,3
MO,Missouri,30.65,159.896,77.721,55.348,-0.227,0.49,-0.317,3
LA,Louisiana,50.081,137.828,82.044,69.141,0.795,-1.062,-0.336,3
MS,Mississippi,45.937,148.646,81.167,65.732,0.089,-0.507,-0.391,3
VT,Vermont,17.35,125.429,68.771,64.0,0.408,1.232,-0.409,3
KY,Kentucky,34.932,128.65,76.496,62.408,-0.215,0.705,-0.461,3
NY,New York,23.466,118.274,71.103,63.177,0.838,0.388,-0.576,3
WV,West Virginia,32.176,105.764,73.115,67.836,-0.528,1.502,-0.593,3
KS,Kansas,30.293,184.029,79.219,48.924,-0.705,-0.459,-1.041,2
MI,Michigan,20.871,105.602,69.099,60.096,1.035,-0.572,-1.408,2
NE,Nebraska,23.165,175.828,75.755,54.226,-0.545,-0.144,-1.448,2
SD,South Dakota,15.826,161.03,73.294,46.803,-0.03,-0.292,-1.595,2
WI,Wisconsin,15.504,133.542,70.047,60.472,0.796,-0.291,-1.713,2
OH,Ohio,28.481,114.455,73.307,60.932,-0.092,-0.13,-1.731,2
IL,Illinois,27.648,138.569,76.088,58.382,0.007,-0.633,-2.122,1
IN,Indiana,28.558,125.696,74.87,59.935,-0.2,-0.572,-2.281,1
ND,North Dakota,7.287,147.415,69.357,46.811,0.14,-0.571,-2.498,1
IA,Iowa,19.261,154.172,73.991,58.859,-0.475,-0.219,-2.606,1
MN,Minnesota,10.052,142.747,70.602,55.414,0.438,-0.651,-2.877,1
